<http://www.wikidata.org/entity/Q59362687> <http://www.wikidata.org/prop/direct/P625> "Point(14.3822831 50.1303461)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59362954> <http://www.wikidata.org/prop/direct/P625> "Point(-2.14023 53.20513)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59363633> <http://www.wikidata.org/prop/direct/P625> "Point(-2.14536 53.19579)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59365595> <http://www.wikidata.org/prop/direct/P625> "Point(6.1727206 51.8504414)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59366067> <http://www.wikidata.org/prop/direct/P625> "Point(-2.14477 53.19365)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59374827> <http://www.wikidata.org/prop/direct/P625> "Point(-73.948598 40.782741)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59377923> <http://www.wikidata.org/prop/direct/P625> "Point(-89.220978 48.433487)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59377951> <http://www.wikidata.org/prop/direct/P625> "Point(-86.947971 49.720505)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59377957> <http://www.wikidata.org/prop/direct/P625> "Point(-94.486891 49.765475)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59378412> <http://www.wikidata.org/prop/direct/P625> "Point(-73.947874 40.782722)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59382121> <http://www.wikidata.org/prop/direct/P625> "Point(11.54533 48.18698)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59383724> <http://www.wikidata.org/prop/direct/P625> "Point(-66.05 -26.85)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59383725> <http://www.wikidata.org/prop/direct/P625> "Point(-66.066667 -26.666667)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59383727> <http://www.wikidata.org/prop/direct/P625> "Point(-65.776556 -28.469472)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59383729> <http://www.wikidata.org/prop/direct/P625> "Point(-61.482778 -24.933389)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59383742> <http://www.wikidata.org/prop/direct/P625> "Point(-64.182389 -31.417972)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59383778> <http://www.wikidata.org/prop/direct/P625> "Point(-64.365111 -30.579528)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59383803> <http://www.wikidata.org/prop/direct/P625> "Point(-64.094194 -30.939778)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59383828> <http://www.wikidata.org/prop/direct/P625> "Point(-58.836611 -27.471056)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59383963> <http://www.wikidata.org/prop/direct/P625> "Point(-79.971944444444 40.591666666667)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59383963> <http://www.wikidata.org/prop/direct/P625> "Point(-79.962222222222 40.656666666667)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59384073> <http://www.wikidata.org/prop/direct/P625> "Point(2.994469 51.249131)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59384142> <http://www.wikidata.org/prop/direct/P625> "Point(4.8071 52.359575)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59384278> <http://www.wikidata.org/prop/direct/P625> "Point(-80.054722222222 40.593611111111)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59384278> <http://www.wikidata.org/prop/direct/P625> "Point(-80.068888888889 40.631944444444)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59388674> <http://www.wikidata.org/prop/direct/P625> "Point(36.201388888889 33.196944444444)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59388748> <http://www.wikidata.org/prop/direct/P625> "Point(11.8725611266 48.3794939704)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
